URLIn,httpStatus,URLOut,Content-Disposition,Content-Type
https://dspace.library.uu.nl/bitstream/1874/88/11/index_subject.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/88/index_subject.pdf;jsessionid=BD55575551829DF30D446EC211A93A54?sequence=11,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/88/12/c3.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/88/c3.pdf;jsessionid=DC8D18C7E35591FFA19D54BFE34B7897?sequence=12,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/88/13/index_name.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/88/index_name.pdf;jsessionid=7B8CFE7F1DE68682123C7018AB20C185?sequence=13,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/88/14/cv.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/88/cv.pdf;jsessionid=0F1E4FB026ED590E786993A94910AC44?sequence=14,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/88/15/contents.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/88/contents.pdf;jsessionid=D2985DABF6D0AF0C08341F65ED10AC12?sequence=15,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/88/16/concordances.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/88/concordances.pdf;jsessionid=0AF504EFD8CF886AAE38693A0F47CDF1?sequence=16,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/88/17/chronicle.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/88/chronicle.pdf;jsessionid=56BEE7EC73D92D16CCAC26469D3FF9F5?sequence=17,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/88/18/c4.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/88/c4.pdf;jsessionid=E9CEA7D8AFAD60B474AFAC1DBCC26F55?sequence=18,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/88/19/app.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/88/app.pdf;jsessionid=4E691CBB3B332F2379E29265A4122219?sequence=19,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/88/20/c1.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/88/c1.pdf;jsessionid=CBCB9C0991B3374CE1F87DCA84A5E5AC?sequence=20,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/88/21/bos.jpg,200,https://dspace.library.uu.nl/bitstream/handle/1874/88/bos.jpg;jsessionid=0B5E443B9013949DA4857CF8819A6384?sequence=21,n/a,image/jpeg;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/88/22/c2.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/88/c2.pdf;jsessionid=C34015629248D233B5EF7BA9E0D67B57?sequence=22,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/88/23/bibl.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/88/bibl.pdf;jsessionid=BDFB2EAD22D9C7C5C84F3D1055CC5F96?sequence=23,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/88/24/abbr.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/88/abbr.pdf;jsessionid=25E9AE33D3A1459538D367CFE0D7425A?sequence=24,n/a,application/pdf;charset=ISO-8859-1
